MODEL,VALUE
polycoder_0.4B_English,-3.985
codegen_350M_nl_English,-3.985
polycoder_160M_English,-3.985
codegen_350M_nl_Hinglish,-3.985
polycoder_160M_Hinglish,-3.985
polycoder_0.4B_Hinglish,-3.985
polycoder_2.7B_Hinglish,-3.958
codegen_2B_multi_Hinglish,-3.956
codegen_2B_nl_Hinglish,-3.914
polycoder_2.7B_English,-3.893
codegen_350M_multi_English,-3.869
codegen_350M_multi_Hinglish,-3.832
codegen_350M_mono_Hinglish,-3.832
codegen_6B_nl_Hinglish,-3.587
codegen_2B_nl_English,-3.401
codegen_350M_mono_English,-3.247
codegen_6B_nl_English,-3.161
codegen_2B_multi_English,-2.590
codegen_6B_multi_Hinglish,-2.426
codegen_2B_mono_English,-2.396
gemma_2B_Hinglish,-2.394
codegen_2B_mono_Hinglish,-2.392
codegen_6B_multi_English,-2.383
gemma_2B_English,-2.357
gemma_7B_English,-1.664
gemma_7B_Hinglish,-1.612
codegen_6B_mono_Hinglish,-1.601
codegen_6B_mono_English,-1.600
mistral7B_0.2_Hinglish,-0.821
mistral7B_0.1_Hinglish,-0.800
mistral7B_0.1_English,-0.800
mistral7B_0.2_English,-0.800
mistral7B_0.3_Hinglish,-0.800
mistral7B_0.3_English,-0.785
gpt_3.5_turbo_Hinglish,0.708
phi_3_med_Hinglish,0.751
phi_3_med_English,0.800
gpt_4_English,0.800
llama3_70B_Hinglish,0.800
gpt_3.5_turbo_English,0.800
llama3_70B_English,0.801
gpt_4_Hinglish,1.600
