PROBLEM,DIFFICULTY,DISCRIMINATION
0,0.338,1.138
1,-1.723,2.000
2,2.000,1.349
3,-0.314,0.869
4,1.686,0.850
5,-0.850,2.000
6,-1.723,2.000
7,1.367,0.493
8,0.387,0.807
9,-0.850,2.000
10,-0.850,2.000
11,1.611,1.406
12,1.041,1.022
13,2.000,1.083
14,-0.850,2.000
15,2.000,2.000
16,1.387,0.713
17,-0.850,2.000
18,0.954,2.000
19,0.060,2.000
20,-0.850,2.000
21,1.949,1.329
22,1.277,0.662
23,2.000,0.586
24,1.746,2.000
25,0.005,1.655
26,-2.000,1.483
27,1.920,1.619
28,1.724,0.250
29,2.000,0.660
30,2.000,0.672
31,2.000,1.438
32,-2.000,0.799
33,-0.850,2.000
34,1.972,0.851
35,2.000,0.489
36,-1.723,2.000
37,0.060,2.000
38,-2.000,0.799
39,-0.850,2.000
40,0.954,2.000
41,-2.000,1.483
42,2.000,0.791
43,2.000,1.819
44,0.932,1.258
45,2.000,1.129
46,1.746,2.000
47,2.000,1.318
48,2.000,0.699
49,2.000,2.000
50,-1.819,0.250
51,2.000,1.890
52,2.000,1.523
53,2.000,0.420
54,-0.314,0.869
55,2.000,0.892
56,1.746,2.000
57,0.954,2.000
58,1.746,2.000
59,2.000,1.890
60,2.000,1.016
61,1.239,1.532
62,0.060,2.000
63,0.329,1.128
64,-0.850,2.000
65,-1.723,2.000
66,2.000,1.707
67,0.060,2.000
68,0.932,1.258
69,0.060,2.000
70,0.954,2.000
71,0.954,2.000
72,1.746,2.000
73,-1.723,2.000
74,0.601,1.486
75,-1.723,2.000
76,-1.723,2.000
77,-2.000,1.483
78,0.060,2.000
79,0.954,2.000
80,0.954,2.000
81,-1.723,2.000
82,2.000,1.655
83,-2.000,1.483
84,-0.705,1.197
85,0.954,2.000
86,2.000,2.000
87,-1.723,2.000
88,-1.723,2.000
89,0.060,2.000
90,-1.723,2.000
91,-1.368,0.850
92,1.746,2.000
93,-2.000,0.799
94,0.954,2.000
95,-0.850,2.000
96,-0.207,1.043
97,-0.207,1.043
98,0.060,2.000
99,-1.723,2.000
100,-1.723,2.000
101,0.060,2.000
102,-0.850,2.000
103,0.060,2.000
104,0.060,2.000
105,0.954,2.000
106,-0.850,2.000
107,1.746,2.000
108,-2.000,0.799
109,-1.723,2.000
110,0.060,2.000
111,0.005,1.655
112,1.746,2.000
113,-1.723,2.000
114,0.954,2.000
115,-2.000,1.483
116,0.929,1.963
117,0.954,2.000
118,-0.850,2.000
119,-1.368,0.850
120,-2.000,0.799
121,0.057,0.831
122,-0.207,1.043
123,0.954,2.000
124,0.005,1.655
125,-1.723,2.000
126,-2.000,0.799
127,-2.000,1.483
128,-1.723,2.000
129,-1.500,0.553
130,-2.000,0.799
131,-2.000,1.483
132,-2.000,0.799
133,-1.723,2.000
134,-2.000,1.483
135,-0.850,2.000
136,0.954,2.000
137,-2.000,1.483
138,-0.850,2.000
139,0.060,2.000
140,-2.000,0.799
141,-1.723,2.000
142,-1.723,2.000
143,0.954,2.000
144,1.544,1.812
145,-2.000,0.799
146,0.954,2.000
147,0.954,2.000
148,0.060,2.000
149,0.005,1.655
150,1.241,1.534
151,0.060,2.000
152,2.000,1.161
153,1.746,2.000
154,-0.850,2.000
155,-0.846,0.746
156,0.929,1.963
157,2.000,2.000
158,-0.850,2.000
159,0.060,2.000
160,-0.850,2.000
161,-0.850,2.000
162,1.746,2.000
163,-2.000,1.483
